event_id,date,lat,lon,dep,mag
173,2017-06-16T10:18:03.610,-16.8732,-69.669,191.13,4.6
174,2017-06-15T18:27:03.900,-16.2632,-72.6073,79.76,4.4
175,2017-06-15T08:47:44.100,-16.9527,-69.6661,191.23,4.3
176,2017-06-08T21:24:40.470,-9.6266,-78.9887,35,4.8
177,2017-06-08T14:01:10.010,-7.9961,-75.8571,108.72,5.2
178,2017-06-08T04:27:43.330,-4.0532,-80.4516,57.26,4.5
179,2017-06-07T06:19:37.530,-15.9145,-74.6074,10,4.3
180,2017-06-07T04:33:19.650,-17.8997,-73.6328,25.68,4.9
181,2017-06-06T20:34:50.460,-4.137,-80.6966,95.45,4
182,2017-06-06T14:20:12.760,-16.3182,-70.4727,60.8,4.2
183,2017-06-05T11:34:11.290,-4.072,-80.3583,49,5.6
184,2017-06-05T04:08:34.500,-3.5168,-77.3642,57.27,4.2
185,2017-06-01T15:09:22.600,-15.9594,-74.5046,35,4.5
186,2017-05-28T13:34:29.740,-16.5109,-72.8305,63.33,4.1
187,2017-05-22T14:27:30.530,-16.2132,-70.5238,60.38,4.5
188,2017-05-21T10:14:19.260,-4.6948,-79.8665,86.67,4.8
189,2017-05-18T13:00:02.140,-14.526,-73.5141,10,4.3
190,2017-05-16T17:09:05.960,-14.5332,-73.4098,10,5.4
191,2017-05-16T13:56:21.950,-7.5765,-75.731,43.11,4.7
192,2017-05-15T08:10:30.430,-18.1231,-70.8223,83.86,4.4
193,2017-05-14T04:13:34.150,-15.9235,-69.7326,233.86,4.1
194,2017-05-09T01:51:32.040,-15.7816,-75.4895,35,4.1
195,2017-05-08T08:08:17.090,-8.0489,-76.6596,10,5.2
196,2017-05-06T19:52:14.580,-16.9194,-73.4773,12.97,5.1
197,2017-05-04T02:28:58.360,-8.5791,-74.3591,154.8,5.3
198,2017-05-03T12:42:48.000,-16.1192,-73.4438,47.51,5.1
199,2017-05-02T14:54:35.620,-15.6117,-72.0972,11.15,4.5
200,2017-04-30T17:35:49.220,-15.5863,-72.4559,10,4.6
201,2017-04-30T15:11:48.480,-15.6131,-71.7025,10,4.4
202,2017-04-30T14:50:50.840,-15.716,-71.9799,10,4.6
203,2017-04-30T13:35:55.170,-15.8303,-72.5021,14.89,4.8
204,2017-04-30T13:29:10.010,-15.7425,-71.8941,10,5.1
205,2017-04-29T20:58:30.940,-15.8663,-72.4081,100.44,4.1
206,2017-04-29T16:39:44.960,-16.1956,-69.7854,220.92,4.2
207,2017-04-24T02:15:37.040,-16.2478,-72.1937,151.13,4.1
208,2017-04-21T06:12:05.020,-9.0601,-75.8873,45.41,4.3
209,2017-04-19T07:21:56.160,-11.2101,-75.72,19.98,4.7
210,2017-04-12T00:45:21.670,-15.0549,-72.3707,81.38,4.6
211,2017-04-10T13:16:30.490,-14.7224,-74.3155,79.43,4.4
212,2017-04-09T14:04:08.990,-3.8194,-75.7956,35,4.5
213,2017-04-07T02:42:59.920,-14.3375,-73.6616,70.55,4.4
214,2017-04-06T17:15:21.320,-17.7187,-72.6095,8.72,5.1
215,2017-04-02T07:28:11.750,-9.9592,-75.4334,89,4.1
216,2017-04-02T01:38:53.820,-6.9809,-80.9044,10,5.3
217,2017-04-01T14:07:34.700,-16.2116,-74.3095,40.73,4.6
218,2017-04-01T12:56:59.850,-16.3147,-74.475,40.17,4.5
219,2017-03-31T09:54:38.340,-16.2013,-74.3621,23.94,4.8
220,2017-03-31T08:17:06.170,-9.2476,-75.4121,115.8,4.5
221,2017-03-31T01:45:51.810,-10.335,-74.9709,118.79,4.8
222,2017-03-30T18:50:45.570,-17.0011,-71.1252,79.06,4
223,2017-03-30T13:25:11.460,-10.7089,-73.6881,137.98,4.5
224,2017-03-28T00:35:12.770,-14.5387,-73.9902,86.55,4.5
225,2017-03-25T18:06:44.750,-4.4644,-76.933,10.97,4.8
226,2017-03-24T10:37:22.740,-3.9679,-80.8712,31,4.4
227,2017-03-24T04:34:14.700,-13.3681,-75.2141,92.06,4.4
228,2017-03-23T12:10:14.380,-15.1401,-72.1287,100.14,4.4
229,2017-03-21T04:29:10.900,-3.6792,-80.9208,23.59,4.9
230,2017-03-18T20:20:50.110,-11.5707,-77.2061,66.51,4.2
231,2017-03-16T18:50:38.020,-15.2468,-71.7775,125.48,4.2
232,2017-03-16T15:25:25.740,-17.127,-71.006,127.61,4.3
233,2017-03-13T15:46:00.590,-12.7032,-76.8723,43.23,4.1
234,2017-03-11T07:53:03.850,-16.2423,-73.7231,35,4.1
235,2017-03-08T03:28:35.610,-14.4911,-70.5931,205.32,4.6
236,2017-03-07T15:37:04.290,-11.8168,-75.1837,51.38,4.3
237,2017-03-06T02:01:45.300,-8.8538,-74.527,147.59,4.4
238,2017-03-06T00:26:36.400,-18.1154,-70.0438,101.86,4.1
239,2017-03-04T20:52:04.790,-6.8712,-81.3526,10,4.3
240,2017-03-01T09:10:47.170,-12.1862,-77.4041,35,4.1
241,2017-02-28T08:09:31.100,-14.1184,-74.9925,83.11,4.7
242,2017-02-28T04:56:28.440,-8.3742,-74.2604,165.87,4.6
243,2017-02-27T17:41:38.030,-15.5084,-70.2514,224.06,4.1
244,2017-02-26T12:33:57.390,-15.004,-71.9889,95.64,4.5
245,2017-02-24T10:45:20.700,-16.2569,-71.6311,94.34,4.3
246,2017-02-24T03:11:41.310,-15.8273,-71.6347,142.04,4.9
247,2017-02-23T08:46:21.550,-10.9862,-75.336,94.88,4.1
248,2017-02-23T08:40:16.320,-10.8949,-75.4793,23.56,4.2
249,2017-02-23T03:41:02.310,-5.4831,-76.7206,108.06,4.5
250,2017-02-20T07:45:10.440,-5.1484,-74.9088,10.22,5.1
251,2017-02-20T03:50:26.430,-10.6141,-75.4434,42.73,4.3
252,2017-02-18T04:55:43.660,-16.9843,-70.1571,151.8,4.3
253,2017-02-16T10:36:08.480,-7.1555,-80.6909,39.13,4.8
254,2017-02-10T11:57:02.940,-14.7087,-77.3728,11.69,4.6
255,2017-02-09T17:53:19.310,-9.4901,-79.3294,35,4.6
256,2017-02-09T00:50:30.130,-15.0855,-73.9774,70.71,4.8
257,2017-02-02T04:39:51.310,-11.6608,-77.2273,67.94,4.3
